,Año,Clave_Ent,Cve. Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
0,0,0,0,18,2,6,3,3,2,3,5,2,1,1,1,1
1,0,0,0,18,0,1,2,0,2,0,1,1,0,0,1,0
2,0,0,0,18,1,1,1,0,2,2,1,2,0,2,0,0
3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,18,3,4,8,7,7,6,7,9,5,3,7,7
7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,22,6,3,6,6,4,4,4,3,1,2,2,3
10,0,0,0,22,6,13,10,7,5,6,12,6,6,7,5,10
11,0,0,0,22,80,80,86,75,74,83,80,84,78,84,72,77
12,0,0,0,22,28,29,33,28,17,20,36,45,47,39,31,34
13,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0
14,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,22,50,40,47,24,21,43,32,33,38,38,35,36
16,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,22,7,5,8,11,8,4,10,12,19,12,11,9
18,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0
19,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0
21,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
23,0,0,0,30,4,4,1,1,2,7,7,1,3,2,2,2
24,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,33,0,1,0,0,0,0,1,0,1,0,0,1
27,0,0,0,33,1,1,0,0,0,0,0,0,0,0,0,0
28,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,28,25,28,43,17,24,24,29,26,20,32,38,35
32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,19,2,5,6,5,6,5,3,8,2,6,2,1
35,0,0,0,37,12,16,18,9,8,14,15,14,12,14,6,14
36,0,0,0,36,7,3,0,6,4,5,5,5,7,8,8,6
37,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,29,17,30,34,16,13,18,29,33,23,30,23,17
39,0,0,0,32,2,1,5,3,6,5,2,5,5,6,4,1
40,0,0,0,32,79,71,77,64,57,73,69,79,73,85,74,76
41,0,0,0,32,4,5,4,0,4,3,2,5,2,4,4,2
42,0,0,0,32,66,63,66,52,50,55,56,59,56,53,53,54
43,0,0,0,32,2,1,1,2,3,2,1,1,1,2,2,0
44,0,0,0,32,36,34,39,24,23,22,17,35,28,33,34,36
45,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,32,52,51,54,36,31,50,53,50,42,50,51,50
49,0,0,0,32,0,0,1,1,1,0,0,0,0,0,0,0
50,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,32,42,41,38,27,33,30,29,35,39,37,20,26
52,0,0,0,32,55,56,45,38,35,37,43,48,41,46,42,42
53,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,32,2,3,4,4,6,2,3,3,3,5,4,2
56,0,0,0,32,3,7,2,1,4,3,5,2,4,5,5,2
57,0,0,0,32,0,0,1,0,0,0,1,0,0,0,0,1
58,0,0,0,32,2,1,1,0,0,3,0,0,1,2,0,2
59,0,0,0,32,0,0,0,1,3,2,1,3,0,2,3,0
60,0,0,0,32,0,1,0,0,3,0,1,1,0,1,1,1
61,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,32,20,9,11,10,12,7,14,7,11,23,13,9
64,0,0,0,32,73,66,64,57,54,66,64,71,68,74,69,64
65,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,32,4,2,4,1,1,3,6,11,3,4,2,4
67,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,32,0,0,0,0,0,0,0,0,1,0,1,0
69,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,32,0,1,0,0,0,2,1,2,3,0,1,1
74,0,0,0,32,67,68,68,60,60,61,62,67,64,70,63,71
75,0,0,0,17,71,65,65,39,45,70,70,80,79,82,78,73
76,0,0,0,1,32,35,32,13,23,34,47,52,55,43,38,37
77,0,0,0,13,9,6,8,8,6,6,6,3,8,3,4,6
78,0,0,0,8,95,88,88,69,68,90,86,90,90,95,86,86
79,0,0,0,10,21,22,17,11,16,16,25,22,22,23,17,22
80,0,0,0,24,27,17,31,15,16,16,8,14,13,11,10,13
81,0,0,0,39,69,70,79,63,62,80,78,85,76,86,75,71
82,0,0,0,38,0,0,2,0,1,0,0,0,1,1,0,0
83,0,0,0,21,16,11,18,0,3,12,22,12,11,15,19,16
84,0,0,0,25,3,4,5,2,3,2,1,2,4,3,1,1
85,0,0,0,7,4,9,2,1,3,1,2,2,6,5,4,4
86,0,0,0,34,0,0,1,0,0,0,0,0,0,0,0,0
87,0,0,0,26,0,1,0,0,1,0,0,0,0,0,0,0
88,0,0,0,23,90,82,81,56,70,87,80,43,40,27,37,35
89,0,0,0,5,92,87,90,74,73,88,87,89,86,92,82,81
90,0,0,0,4,19,36,25,21,30,28,25,18,25,25,25,27
91,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,14,5,10,5,1,0,0,4,4,3,9,5,7
93,0,0,0,15,51,46,36,26,26,39,32,37,39,47,41,30
94,0,0,0,6,0,1,1,1,3,3,4,5,4,2,2,3
95,0,0,0,9,29,27,25,25,17,26,21,41,35,50,36,28
96,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0
97,0,0,0,27,64,59,56,41,47,63,69,73,81,75,62,63
98,0,0,1,18,0,0,0,0,0,0,0,0,0,0,2,0
99,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,1,18,0,1,0,0,0,1,0,1,1,0,0,0
105,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,1,22,0,0,0,0,1,1,0,0,0,0,0,0
108,0,0,1,22,0,1,1,0,1,1,1,0,0,0,0,1
109,0,0,1,22,12,7,9,7,4,8,14,5,2,2,2,2
110,0,0,1,22,2,0,1,3,3,2,2,0,3,4,3,5
111,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,1,22,3,0,0,4,2,4,4,2,2,3,0,2
